,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Class
202,21,22,6,8,7,2,58,60,1,1,2,2,39,50,3,4,2,3,1
203,10,18,11,15,8,4,6,8,5,11,14,11,11,23,10,18,31,5,1
204,1,4,9,12,7,1,6,8,14,9,10,16,23,11,8,13,17,10,1
205,56,31,6,5,3,2,2,3,6,7,2,3,10,5,2,1,3,4,1
206,5,8,9,22,17,11,13,10,8,6,8,18,29,18,21,17,24,6,1
207,1,2,2,4,1,2,2,2,2,1,2,2,12,13,2,5,11,5,1
208,14,15,7,13,7,1,1,7,7,4,5,8,4,2,3,1,10,7,1
209,23,14,17,21,27,15,21,31,2,1,2,7,5,4,3,3,4,5,1
210,15,9,6,12,14,18,4,4,3,5,5,2,11,27,26,16,12,2,1
211,18,25,26,21,16,10,20,10,10,17,17,16,24,23,16,33,19,18,1
212,26,16,11,24,50,49,41,21,9,14,14,18,17,11,17,14,15,26,1
213,24,25,16,28,14,2,38,32,6,42,12,10,21,14,8,9,22,48,1
214,20,17,33,35,18,46,36,37,21,27,45,28,12,9,14,17,18,41,1
215,23,20,33,23,24,29,24,25,21,35,35,36,21,26,15,13,14,3,1
216,4,4,1,5,6,4,7,23,20,16,12,11,14,9,7,4,4,5,1
217,2,3,1,26,19,3,5,10,4,14,20,11,5,4,4,2,2,3,1
218,36,39,31,33,44,44,30,23,3,24,10,11,11,1,6,18,12,5,1
219,7,17,5,8,7,6,2,4,6,4,2,7,3,6,6,2,6,4,1
220,5,7,21,11,5,6,14,7,6,14,24,12,8,8,6,6,5,3,1
221,3,9,3,2,10,11,15,12,1,2,1,6,15,10,4,14,13,2,1
222,15,34,22,21,39,21,41,29,18,45,40,25,19,27,23,43,41,13,1
223,1,2,3,2,4,3,2,3,3,3,1,75,18,35,76,20,1,11,1
224,2,3,3,4,4,3,1,2,2,4,2,6,4,4,24,20,9,7,1
225,6,9,2,1,21,29,1,1,1,1,1,1,1,8,5,1,1,1,1
226,40,35,30,20,21,6,3,10,15,5,10,19,4,8,27,36,33,31,1
227,32,24,18,16,21,39,32,13,23,18,31,34,19,20,22,13,10,32,1
228,3,2,3,4,4,4,4,3,3,6,8,4,3,4,10,5,4,4,1
229,17,5,9,30,24,3,1,18,58,35,43,9,22,31,24,59,41,30,1
230,10,29,12,27,22,5,48,46,35,41,26,20,27,27,13,4,39,42,1
231,4,4,2,5,6,6,6,3,7,2,2,4,3,1,5,5,3,4,1
