,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Class
106,82365,83640,85680,74715,95115,124695,91545,60690,41820,29325,45135,52020,62475,63495,66045,71910,58650,78030,0
107,9690,8160,7140,4335,3060,6375,10455,5610,6885,5610,4080,6120,4845,3825,2295,6120,5355,8160,0
108,91545,87720,103530,97155,61710,52785,35190,51255,55845,88230,59670,57630,69615,107865,105825,102000,78540,54570,0
109,135150,81855,94095,105570,119085,74205,107610,90780,89505,89250,67065,74715,96900,102255,96135,110160,92820,97665,0
110,74970,58140,77520,109395,89250,92565,83895,58905,50745,72675,72675,64260,66300,43095,52530,61200,65790,95370,0
111,38505,26265,27795,38250,29070,38760,37230,17085,24735,39270,34935,20910,24480,36210,32130,49215,27540,38760,0
112,79305,77010,75990,76500,54060,75480,104040,60180,61965,81855,70890,51510,47430,58650,49215,63495,48195,37230,0
113,96645,100725,88230,84660,112200,176970,130305,117045,133875,125715,130305,105315,107100,81855,77520,74205,89505,127500,0
114,70635,77010,83130,95115,129030,139230,149685,164475,156825,166260,169065,197370,172125,167025,157590,168810,164475,144840,0
115,10455,4335,33405,46410,60945,89760,97920,93840,82365,91035,76500,72930,13260,19635,93585,87975,50745,55590,0
116,37485,30090,46920,32895,31875,46155,54570,35190,52020,33660,26775,13770,23205,17595,18360,21420,10965,21420,0
117,146880,130560,123165,139995,122910,107865,137700,139230,160650,171360,149685,186405,216240,212160,182835,146625,196350,235875,0
118,4845,5355,8925,8925,4845,15045,28050,28815,5355,12240,7650,1530,7140,20655,7395,16320,41820,24480,0
119,122655,100725,93840,101490,107355,96390,108885,80835,61965,79560,59925,49470,45645,35955,42330,62730,53550,68595,0
120,172890,248625,224655,149940,153000,209100,398565,242760,213180,250665,288915,600525,352410,317985,305235,284325,284580,352410,0
121,127500,126480,131070,125715,161415,190485,186915,119595,131070,118575,106335,150705,152490,135660,133875,163710,182070,139485,0
122,36720,35445,40800,26775,32130,32130,46410,39015,14790,15555,39015,21930,35190,29070,30855,44370,35190,52530,0
123,102765,93330,117045,151725,153765,191505,172635,193545,164730,134640,137955,151725,158100,167790,155550,144075,187680,202470,0
124,144075,156570,185895,176460,194310,230520,209865,186150,206040,199920,208080,228480,73440,99960,200175,191250,193545,243525,0
125,26010,16830,9690,7395,13005,18360,33915,30600,28815,25755,30855,32895,30600,27030,35700,4845,255,255,0
126,90015,78285,119085,112710,87465,122400,126225,114750,129540,114240,124440,141780,144840,124695,116535,116790,96390,134130,1
127,173910,180795,155805,119085,123930,140760,117045,93585,102510,91035,111180,118320,103785,81090,98940,93585,98430,161160,1
128,59670,44115,163455,102765,131580,194310,97665,87465,129285,62985,41055,73440,57630,74715,70380,51255,63750,74970,1
129,98940,142800,141780,167535,197880,224910,277695,361845,463845,602565,564060,562275,568140,567885,514080,404175,412335,336345,1
130,244290,177735,171360,225930,234855,298860,349350,316710,374850,338385,243015,173145,243780,238680,188955,186915,201960,130815,1
131,131070,77775,82620,96135,95115,119595,80070,58395,108120,116025,98430,116535,94350,67320,96390,121125,138975,167280,1
132,137445,123165,90780,108630,111435,109905,93585,105315,103020,86700,116790,142800,105315,121635,167790,101745,91035,122400,1
133,103275,88230,88995,47430,33660,67065,92055,62730,76245,86190,72675,86190,76500,98685,81855,98940,102765,96135,1
134,74715,86955,93330,126990,141780,96135,101235,106590,111180,110670,99195,141015,100215,112965,97665,88485,105060,103530,1
135,46155,62985,57375,67320,88230,117300,199665,187935,167025,134385,72675,86445,90270,68595,49215,84405,98175,84150,1
136,204765,562020,617355,972315,1226550,1181670,992205,951915,879750,941205,608685,632145,179265,129285,34170,10710,5100,3825,1
137,703290,354450,348840,366180,460020,392445,261375,236895,237660,473280,590580,687735,583695,675750,522240,345780,443955,539580,1
138,1530,1020,1785,13260,164730,181815,165495,171615,334305,373830,250155,158865,225420,291465,338385,303450,401370,205785,1
139,56355,64260,33150,40035,28815,44880,108885,39780,31365,106590,22440,52275,60180,29070,30600,41310,42075,48195,1
140,300390,339915,269025,268260,246585,254235,161925,107355,117555,130050,160905,221340,195075,234090,185895,190230,148155,173400,1
141,34935,31110,21420,56100,77010,91290,77775,76500,68085,43860,54570,89760,118320,113985,124185,109395,101235,96900,1
142,52785,61965,26010,101745,368730,359805,312120,386580,310080,323085,284835,652545,345015,260100,165240,203745,206550,254235,1
143,169320,172635,147390,190230,177225,270810,169065,137955,182835,190995,183345,155550,145860,216240,163200,189720,186150,163710,1
144,20400,2295,1275,0,0,10200,58650,9435,1020,255,510,13770,765,510,510,1020,510,23205,1
145,0,0,12750,2550,4335,25755,41565,5865,510,0,0,510,7650,6120,3060,3060,42075,43605,1
146,31365,39015,167790,137955,143565,107100,105060,68850,41055,151725,164475,157080,81345,93840,145605,89505,83895,82620,1
147,301410,339915,452115,365925,391935,397800,324870,366435,411825,537795,484755,542640,422280,424320,530655,593895,554625,480930,1
148,253980,262650,244800,223890,137700,118575,34680,15810,19380,23970,68340,62730,39780,69870,65025,44625,43605,62730,1
149,253215,303450,315945,308295,350880,345525,396780,358785,360315,346545,316455,283560,284580,240465,198645,193545,184365,202470,1
150,321300,366690,377145,426615,451095,389385,416160,343485,262140,265710,286365,254745,246330,211650,172890,133875,164985,199920,1
